,State,School,Num Applications,In State Application %,Out of State %,Men Application %,Women Application %,Num Matriculants,In State Matriculant %,Out of State Matriculant %,Men Matriculant %,Women Matriculant %,Average GPA,Average MCAT,label
87,NV,UNLV-Kerkorian,1502.0,20.2,79.8,49.3,50.6,60.0,88.3,11.7,41.7,58.3,3.65,510.0,1
88,NY,Albany,12495.0,16.4,83.6,43,56.9,139.0,38.8,61.2,42.4,57.6,3.6,511.0,2
89,NY,Buffalo-Jacobs,5169.0,41.5,58.5,43.7,56.2,184.0,88,12,45.7,54.3,3.66,510.0,1
90,NY,Columbia-Vagelos,7008.0,15.3,84.7,45.1,54.8,138.0,20.3,79.7,46.4,53.6,3.93,521.0,0
91,NY,Cornell-Weill,7884.0,16.7,83.3,45.7,54.1,106.0,34,66,48.1,51.9,3.91,519.0,0
92,NY,Einstein,9782.0,18.6,81.4,45.3,54.6,183.0,43.7,56.3,37.2,62.8,3.82,516.0,0
93,NY,Mount Sinai-Icahn,8272.0,16.9,83.1,44.6,55.2,120.0,30.8,69.2,47.5,52.5,3.81,519.0,0
94,NY,NYU Long Island,3994.0,26.5,73.5,39.5,60.2,24.0,75,25,50,50,3.83,516.0,3
95,NY,NYU-Grossman,8316.0,14.6,85.4,42.8,57,105.0,17.1,82.9,46.7,53.3,3.92,522.0,0
96,NY,New York Medical,12222.0,18.1,81.9,42.4,57.4,214.0,58.9,41.1,51.9,48.1,3.6,514.0,2
97,NY,Renaissance Stony Brook,5711.0,37.1,62.9,44.2,55.7,137.0,73.7,26.3,46.7,53.3,3.8,515.0,3
98,NY,Rochester,6117.0,21.4,78.6,47.6,52.3,106.0,36.8,63.2,50.9,49.1,3.7,514.0,2
99,NY,SUNY Downstate,6147.0,40.9,59.1,40.8,59.1,199.0,87.4,12.6,45.2,54.3,3.73,513.0,3
100,NY,SUNY Upstate-Norton,5265.0,43.4,56.6,42.1,57.8,169.0,82.8,17.2,43.2,56.8,3.64,509.86,1
101,NY,Zucker Hofstra Northwell,5477.0,28.7,71.3,44.2,55.6,99.0,56.6,43.4,44.4,55.6,3.82,517.0,3
102,OH,Case Western Reserve,8087.0,9.7,90.3,47.7,52.1,215.0,18.6,81.4,44.2,55.3,3.78,518.0,0
103,OH,Cincinnati,5859.0,19.3,80.7,50,49.8,175.0,58.9,41.1,46.9,53.1,3.74,515.0,3
104,OH,Northeast Ohio,5083.0,20.5,79.5,45.9,54,172.0,72.1,27.9,57,42.4,3.68,510.0,1
105,OH,Ohio State,7012.0,17.3,82.7,48.9,50.9,201.0,52.2,47.8,46.8,53.2,3.82,514.0,3
106,OH,Toledo,6594.0,18.2,81.8,47.4,52.5,176.0,63.1,36.9,47.7,52.3,3.68,510.0,1
107,OH,Wright State-Boonshoft,7553.0,15.5,84.5,44.7,55.1,130.0,80,20,40.8,59.2,3.6,507.0,1
108,OK,Oklahoma,2434.0,15.1,84.9,47.6,52.3,163.0,93.3,6.7,50.9,49.1,3.81,509.43,3
109,OR,Oregon,6505.0,8,92,42.4,57.2,150.0,75.3,24.7,30.7,69.3,3.65,509.0,1
110,PA,Drexel,15980.0,7.1,92.9,42,57.8,304.0,28.6,71.4,41.4,58.6,3.57,511.0,2
111,PA,Geisinger Commonwealth,5991.0,14.7,85.3,42.1,57.8,111.0,63.1,36.9,48.6,51.4,3.72,511.6,3
112,PA,Jefferson-Kimmel,11089.0,9.9,90.1,44.2,55.7,272.0,29.4,70.6,44.5,55.5,3.73,514.0,2
113,PA,Penn State,11365.0,10,90,44.2,55.7,150.0,43.3,56.7,38,61.3,3.75,511.0,2
114,PA,Pennsylvania-Perelman,6346.0,8.8,91.2,45.8,54,149.0,8.1,91.9,48.3,51.7,3.92,522.0,0
115,PA,Pittsburgh,8392.0,11,89,46.8,53,153.0,30.1,69.9,33.3,66.7,3.83,516.0,0
116,PA,Temple-Katz,12756.0,9.3,90.7,42.2,57.6,218.0,44,56,44,56,3.74,512.0,2
117,PR,Caribe,988.0,47,53,43.9,56.1,77.0,88.3,11.7,50.6,49.4,3.8,501.0,1
